top - 01:46:18 up 8 min,  3 users,  load average: 0.92, 1.65, 0.92
Tasks: 334 total,   3 running, 331 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.0 us, 25.0 sy,  0.0 ni, 25.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   4050.4 total,    429.8 free,   3482.9 used,    325.0 buff/cache     
MiB Swap:    512.0 total,    400.5 free,    111.5 used.    567.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  11524 fcurrie   20   0   29904  19904   8128 R  62.5   0.5   0:00.10 pio
   1516 fcurrie   20   0   21.2g 251520  26352 S  56.2   6.1   1:02.63 node
    541 root      20   0  248000  13104   2864 R  37.5   0.3   0:03.53 account+
  11503 fcurrie   20   0   50688  39888   9680 S  18.8   1.0   0:00.28 python
     51 root      20   0       0      0      0 S  12.5   0.0   0:00.02 kcompac+
  10326 fcurrie   20   0  264528  34752  10176 S   6.2   0.8   0:00.35 pio
  11369 fcurrie   20   0  264528  34784  10720 S   6.2   0.8   0:00.35 pio
  11513 fcurrie   20   0   11984   4656   2608 R   6.2   0.1   0:00.01 top
      1 root      20   0  169120   8016   5040 S   0.0   0.2   0:00.99 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:00.18 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
